0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	2
65	4
66	18
67	32
68	49
69	48
70	54
71	57
72	40
73	40
74	60
75	59
76	55
77	43
78	51
79	36
80	48
81	42
82	49
83	48
84	50
85	57
86	47
87	48
88	56
89	53
90	57
91	61
92	73
93	52
94	47
95	64
96	48
97	56
98	58
99	64
100	53
101	71
102	53
103	57
104	60
105	51
106	43
107	49
108	49
109	57
110	63
111	55
112	49
113	63
114	50
115	50
116	60
117	54
118	49
119	70
120	67
121	57
122	68
123	44
124	79
125	67
126	70
127	69
128	54
129	66
130	58
131	68
132	61
133	74
134	69
135	58
136	67
137	65
138	63
139	72
140	52
141	68
142	70
143	86
144	78
145	60
146	80
147	61
148	71
149	75
150	93
151	83
152	85
153	100
154	79
155	91
156	88
157	85
158	113
159	75
160	92
161	99
162	100
163	90
164	105
165	98
166	123
167	130
168	129
169	132
170	130
171	114
172	128
173	124
174	129
175	126
176	138
177	130
178	130
179	128
180	172
181	150
182	159
183	166
184	153
185	162
186	179
187	145
188	166
189	178
190	205
191	201
192	214
193	187
194	216
195	241
196	205
197	223
198	244
199	256
200	254
201	261
202	275
203	273
204	259
205	302
206	289
207	334
208	320
209	299
210	352
211	339
212	332
213	365
214	357
215	373
216	362
217	368
218	415
219	419
220	428
221	462
222	443
223	458
224	460
225	455
226	482
227	548
228	508
229	520
230	592
231	566
232	570
233	613
234	622
235	658
236	640
237	650
238	654
239	652
240	675
241	697
242	653
243	692
244	752
245	727
246	787
247	782
248	788
249	810
250	862
251	796
252	844
253	897
254	875
255	861
256	946
257	916
258	892
259	957
260	1018
261	899
262	930
263	926
264	936
265	1035
266	1008
267	915
268	975
269	1018
270	960
271	932
272	969
273	1013
274	959
275	989
276	1031
277	1009
278	1042
279	948
280	994
281	1002
282	927
283	945
284	955
285	946
286	995
287	862
288	938
289	912
290	964
291	870
292	884
293	834
294	858
295	866
296	863
297	816
298	810
299	847
300	759
301	785
302	753
303	715
304	765
305	688
306	722
307	658
308	671
309	664
310	639
311	639
312	606
313	631
314	558
315	587
316	549
317	604
318	561
319	565
320	517
321	510
322	506
323	468
324	473
325	467
326	450
327	450
328	442
329	464
330	438
331	415
332	433
333	383
334	378
335	351
336	348
337	336
338	358
339	341
340	330
341	301
342	313
343	327
344	313
345	271
346	304
347	308
348	247
349	279
350	275
351	236
352	267
353	275
354	248
355	219
356	250
357	237
358	230
359	209
360	192
361	223
362	185
363	191
364	208
365	171
366	183
367	180
368	174
369	173
370	166
371	155
372	142
373	146
374	145
375	167
376	142
377	148
378	128
379	133
380	121
381	131
382	110
383	113
384	122
385	115
386	111
387	110
388	98
389	104
390	100
391	91
392	71
393	85
394	73
395	85
396	83
397	88
398	65
399	89
400	71
401	80
402	85
403	74
404	67
405	62
406	62
407	45
408	64
409	53
410	39
411	39
412	64
413	60
414	52
415	56
416	44
417	54
418	47
419	52
420	43
421	44
422	51
423	48
424	44
425	50
426	45
427	63
428	43
429	39
430	29
431	43
432	36
433	43
434	39
435	42
436	42
437	42
438	43
439	33
440	35
441	40
442	37
443	40
444	41
445	46
446	40
447	38
448	43
449	36
450	28
451	41
452	44
453	32
454	33
455	28
456	38
457	44
458	38
459	47
460	40
461	35
462	39
463	32
464	43
465	36
466	39
467	33
468	44
469	43
470	41
471	40
472	37
473	34
474	42
475	42
476	37
477	39
478	26
479	40
480	49
481	41
482	41
483	45
484	46
485	26
486	44
487	36
488	50
489	44
490	41
491	52
492	52
493	49
494	45
495	53
496	39
497	54
498	64
499	46
500	52
501	31
502	57
503	52
504	56
505	56
506	54
507	37
508	56
509	53
510	56
511	54
512	65
513	49
514	54
515	61
516	49
517	55
518	48
519	53
520	49
521	60
522	64
523	58
524	65
525	58
526	65
527	56
528	71
529	61
530	51
531	60
